y,rule,order,draw,b3,lo,hi,n,b3_rlm,b3_rlm_se,slope_bsky,slope_bsky_se,slope_ts,slope_ts_se
breadth,code,api,,-0.011910100430662773,-0.01565167160959861,-0.008168529251726935,244129,-0.025540792432417095,0.0011292316323387116,1.1647407301433297,0.0018561961950084365,1.1528306297126643,0.0004457382934478526
breadth,first,api,,0.02658745506655855,0.022300241884122562,0.030874668248994538,244129,0.028029025327563312,0.0014301002143926017,1.051570890339967,0.0021059354077458117,1.078158345406524,0.0005912293227167323
breadth,first,rev,,0.010987877870329673,0.006593473954750836,0.01538228178590851,244129,0.005185033320646293,0.0014611297935091796,1.054694486056407,0.002169639838171555,1.0656823639267352,0.0005651716135351188
breadth,last,api,,0.03117023973786265,0.02575439851534441,0.036586080960380886,244129,0.03688060303470595,0.0015365664655728837,1.0202021394354384,0.002646963147579184,1.051372379173301,0.0007929524296379165
breadth,last,rev,,-0.003121476929126948,-0.008801576607281677,0.0025586227490277808,244129,0.00014075670237526642,0.001676399636619936,1.0202374926512603,0.002769354399583198,1.0171160157221328,0.0008538960128287466
breadth,random,api,0.0,0.028726118794426023,0.023723374585046995,0.03372886300380505,244129,0.03332760187236752,0.0015065266825660126,1.031917906187097,0.002456200220528695,1.0606440249815219,0.000694212476129409
breadth,random,api,1.0,0.02900303628077491,0.02401307927172423,0.033992993289825586,244129,0.03324958012854062,0.0015063081685997497,1.0317233660552312,0.0024499869259946207,1.0607264023360055,0.0006922085747670322
breadth,random,api,2.0,0.02759869886311541,0.022645414491422662,0.03255198323480816,244129,0.032963355259101684,0.0015055346975320185,1.0329595738488428,0.002429827337686,1.060558272711957,0.0006946997207649773
breadth,random,api,3.0,0.028659323871549278,0.023639543073900586,0.03367910466919797,244129,0.03331498552111061,0.001503608221203348,1.031985365662546,0.002465122158263218,1.0606446895340944,0.0006946011520039355
breadth,random,api,4.0,0.02858436910144745,0.023632318367051118,0.03353641983584378,244129,0.03341032862851559,0.0015059958096128336,1.032050210070455,0.0024294246768706775,1.0606345791719007,0.0006938180400202753
breadth,random,api,5.0,0.028984099692280257,0.024003725557919357,0.03396447382664115,244129,0.03363946821167212,0.0015070944689759402,1.0317153943852602,0.00244433338465497,1.0606994940775403,0.000694227594591435
breadth,random,api,6.0,0.02931912285482954,0.02433611694184463,0.03430212876781445,244129,0.033285952351058495,0.0015060517771917179,1.031303812997017,0.00244578886294755,1.0606229358518455,0.0006940173878546233
breadth,random,api,7.0,0.027906152224490853,0.02296028703338661,0.0328520174155951,244129,0.03325663666096168,0.0015055422073276578,1.0326446485495966,0.00242574758340037,1.0605508007740871,0.0006951973019223336
breadth,random,api,8.0,0.028609236130963216,0.02360158086869867,0.033616891393227766,244129,0.03320850308177613,0.0015068883067169316,1.0319740620833329,0.0024589502644109637,1.0605832982142949,0.0006936939171233049
breadth,random,api,9.0,0.029309276979003457,0.024292687092641232,0.03432586686536568,244129,0.03345260380932173,0.001506733001324142,1.031432931158308,0.0024637793131634124,1.0607422081373103,0.0006933636112689642
breadth,random,api,10.0,0.028887204235505483,0.023854743071875482,0.03391966539913548,244129,0.03308655039531402,0.0015064314772967363,1.0317765617316101,0.0024722758655947247,1.0606637659671143,0.0006930588239281187
breadth,random,api,11.0,0.02869331449959765,0.023699071557488162,0.033687557441707136,244129,0.03335194664732959,0.0015055785655639,1.0319562447217374,0.002451632010225784,1.0606495592213343,0.0006944264848295362
breadth,random,api,12.0,0.028740985677536926,0.02375929487287026,0.03372267648220359,244129,0.03321649243346312,0.0015058689475585293,1.0319473843755214,0.0024451133361428805,1.0606883700530572,0.0006939400700483212
breadth,random,api,13.0,0.028752075768908387,0.023766041614420287,0.033738109923396487,244129,0.0332263005308147,0.0015053616048845626,1.0320249774990422,0.0024477875351090186,1.06077705326795,0.0006926310965081829
breadth,random,api,14.0,0.029043174032355887,0.024056482005736915,0.03402986605897486,244129,0.03322729148361049,0.0015056172544970058,1.0316229335051899,0.002447530109497138,1.0606661075375445,0.0006947703509048282
breadth,random,api,15.0,0.028574481876858602,0.023626928860332956,0.03352203489338425,244129,0.03333285714453845,0.0015043710924772002,1.032124282398622,0.002427073821953965,1.0606987642754793,0.0006936930233124794
breadth,random,api,16.0,0.029193006021420845,0.02415304494935554,0.034232967093486145,244129,0.03331408591810277,0.001506860042276368,1.0313397833393132,0.002475515096416129,1.0605327893607333,0.0006956779157779758
breadth,random,api,17.0,0.028887195179774144,0.023852827818023517,0.03392156254152477,244129,0.033192162628384245,0.0015052696075033738,1.0316564218109927,0.002472836834087484,1.060543616990766,0.0006946593635482415
breadth,random,api,18.0,0.028245108105629874,0.02329644996214523,0.03319376624911452,244129,0.03340214443762469,0.001505365374422313,1.03234074385517,0.002427611464699942,1.0605858519607998,0.0006938636776070143
breadth,random,api,19.0,0.027976536744368802,0.023031776722934966,0.03292129676580264,244129,0.03311729427870906,0.0015051484268878781,1.0326791147042254,0.0024253629563618286,1.0606556514485925,0.0006944924585672362
breadth,random,rev,0.0,0.0038258855214699616,-0.001409281925865339,0.009061052968805262,244129,-0.0003763990300072186,0.001616004750577278,1.0324021964849597,0.0025797065798740166,1.036228082006428,0.0006923693086483257
breadth,random,rev,1.0,0.0025910083536283745,-0.0025977911627740827,0.007779807870030832,244129,-0.0008918528719675312,0.0016165457285377126,1.0334815636612837,0.0025548326799849893,1.036072572014911,0.0006937394937203401
breadth,random,rev,2.0,0.00278612437440827,-0.0024374318879538982,0.008009680636770438,244129,-0.0005558493869154519,0.0016139443376204134,1.0334082716471418,0.0025731801314248315,1.036194396021549,0.0006938255944770979
breadth,random,rev,3.0,0.003425902133294106,-0.00176531005072026,0.008617114317308472,244129,-0.00021352108496465268,0.0016156846976653504,1.0327298880023823,0.0025562354975420623,1.0361557901356746,0.0006932702374965254
breadth,random,rev,4.0,0.004040013488483864,-0.0011655239614949357,0.009245550938462663,244129,-0.0001795334943570967,0.0016160374446440042,1.032329304908526,0.002564377627568227,1.036369318397009,0.0006911586215515474
breadth,random,rev,5.0,0.003613416808918053,-0.0016284710505023426,0.008855304668338448,244129,-0.000368563766934186,0.0016172314999395893,1.0323970861833238,0.002582901939514551,1.036010502992241,0.0006936909996311239
breadth,random,rev,6.0,0.0034902322786255126,-0.001742719622723001,0.008723184179974027,244129,-0.0002738359178784944,0.0016164335534739444,1.0327420799461773,0.002578419944341952,1.0362323122248018,0.0006928020383910522
breadth,random,rev,7.0,0.0030657395868017674,-0.0021311254604192533,0.008262604634022789,244129,-0.000267668628507404,0.0016162222389433786,1.032940659717178,0.0025590590226735807,1.036006399303978,0.0006938777823070053
breadth,random,rev,8.0,0.0035858585013462236,-0.001652267501603529,0.008823984504295976,244129,-0.0002905509316907131,0.0016181295635605824,1.0324696692009363,0.002581250100163567,1.036055527702283,0.000692441392240333
breadth,random,rev,9.0,0.002986063453540228,-0.0022252649203254936,0.00819739182740595,244129,-0.000615981183293983,0.001616535946770518,1.033137239066548,0.0025668164531434416,1.0361233025200873,0.0006934614601928102
breadth,random,rev,10.0,0.0031667479565346845,-0.0020337897550145585,0.008367285668083927,244129,-0.0005358549919696813,0.0016148003470137535,1.0331165674005762,0.0025614651276653815,1.0362833153571103,0.0006921604087800846
breadth,random,rev,11.0,0.0037292265608091994,-0.0014366779663644472,0.008895131087982846,244129,-0.00014221618104978548,0.0016167051836330534,1.0324580807934285,0.002542997350470242,1.0361873073542367,0.0006927463455039646
breadth,random,rev,12.0,0.003944592211939012,-0.0012577973912153238,0.009146981815093347,244129,-0.0005343500135387844,0.001615772100921793,1.0323302814415871,0.002562392983097949,1.0362748736535252,0.0006923486794050765
breadth,random,rev,13.0,0.003351870411185942,-0.001875856597433995,0.008579597419805879,244129,-0.000505083321125171,0.0016153376240902956,1.0328500752800893,0.002575811796555659,1.0362019456912743,0.0006922357089415791
breadth,random,rev,14.0,0.003811425121060726,-0.0014099979821843977,0.00903284822430585,244129,-0.00017623131613588188,0.001616388688963678,1.0323451786481788,0.002572296895175041,1.036156603769238,0.0006929204511061572
breadth,random,rev,15.0,0.004256546249312695,-0.0009611939523447317,0.009474286450970123,244129,-0.0001950528381851425,0.0016150140060744525,1.0320207108003416,0.0025706726113717765,1.0362772570496532,0.0006917257240915425
breadth,random,rev,16.0,0.0035497213110782812,-0.0016702761528957573,0.00876971877505232,244129,-0.00025114810844615204,0.0016166079112521364,1.0325151517057194,0.0025715723985562677,1.0360648730167963,0.0006928135375646336
breadth,random,rev,17.0,0.0035185361047007915,-0.0016807424258759507,0.008717814635277533,244129,-0.0004494241314433164,0.0016161270413364035,1.0326994001897514,0.002560935975640591,1.0362179362944512,0.0006916558097695726
breadth,random,rev,18.0,0.0034400704973112186,-0.0017057107806360146,0.008585851775258451,244129,-2.0551489085158122e-05,0.0016148514834164456,1.0327915617097292,0.00253235018642252,1.03623163220704,0.0006927628750186148
breadth,random,rev,19.0,0.003548254093341057,-0.0016466009067632442,0.008743109093445358,244129,-0.0004454660186697199,0.0016153562695292141,1.0326502365863675,0.0025589495206871263,1.0361984906797077,0.0006903546414311222
depth,code,api,,-0.08268412641235835,-0.08987311483304083,-0.07549513799167587,244129,-0.06972138121527675,0.0011585664322427366,0.31991679085765823,0.0034121778664317104,0.2372326644452982,0.0013454274005807254
depth,first,api,,-0.024030791196396662,-0.02658207107927058,-0.021479511313522746,244129,-0.02615850705651165,0.0009784230100158594,0.24746110827102963,0.001243517898917232,0.22343031707463146,0.0003847296458671454
depth,first,rev,,-0.020199576940670174,-0.022759797801852173,-0.017639356079488175,244129,-0.01829341144683119,0.0010624425264206933,0.24800963512974558,0.0012293731394348612,0.2278100581890741,0.00044146563556949736
depth,last,api,,0.003761894277232927,5.105566325007199e-05,0.007472732891215783,244129,-0.0010432950066954986,0.001167870721816566,0.3367355804293654,0.001772591180635663,0.34049747470659686,0.0006651681175245079
depth,last,rev,,0.027548365449976846,0.023761510274001273,0.03133522062595242,244129,0.02517396359418374,0.0012511898546682606,0.33557484300303214,0.0018089379196838964,0.3631232084530075,0.0006787003000342215
depth,random,api,0.0,-0.012067540900548969,-0.014817772839143005,-0.009317308961954932,244129,-0.013774799799901807,0.001067399613113921,0.2866136704886507,0.0013343078468963478,0.2745461295881003,0.00043420668895804054
depth,random,api,1.0,-0.011322443416217076,-0.01404258573119435,-0.008602301101239803,244129,-0.01362547233602307,0.0010666776532853332,0.2856778464525946,0.0013184727287039143,0.27435540303637596,0.0004332382959650568
depth,random,api,2.0,-0.01207019683499982,-0.014776673333017142,-0.009363720336982496,244129,-0.01384825451211674,0.0010690154863931213,0.2867364287001213,0.0013102387339839117,0.27466623186512007,0.0004359311580107321
