bsky_rate,ts_rate,seed,y,b3,lo,hi,n
0.05,0.3,1,breadth,0.04571861704760116,0.04033481956953777,0.05110241452566455,244129
0.05,0.3,1,depth,-0.021544989092452498,-0.02521223579535286,-0.017877742389552136,244129
0.05,0.3,2,breadth,0.04486691441129576,0.03946773751920854,0.050266091303382984,244129
0.05,0.3,2,depth,-0.021625524555570978,-0.025290833868981996,-0.01796021524215996,244129
0.3,0.05,1,breadth,-0.012902272146369737,-0.018190724391937634,-0.007613819900801841,244129
0.3,0.05,1,depth,0.04073133274224161,0.03717844756690534,0.04428421791757788,244129
0.3,0.05,2,breadth,-0.013337703490329086,-0.018624825900598857,-0.008050581080059314,244129
0.3,0.05,2,depth,0.040976585662413675,0.0373784616402857,0.04457470968454165,244129
