scenario,draw,y,b3,n
bootstrap_matrix,47,log_breadth,0.0020748254936157375,120693
bootstrap_matrix,47,log_depth,-0.0044391841622718,120693
bootstrap_matrix,38,log_breadth,0.027452630457836583,120693
bootstrap_matrix,38,log_depth,-0.026222471303028263,120693
bootstrap_matrix,48,log_breadth,-2.271864337280438e-15,120693
bootstrap_matrix,48,log_depth,1.176101178844604e-09,120693
bootstrap_matrix,42,log_breadth,0.019286034222192494,120693
bootstrap_matrix,42,log_depth,-0.03572153545447453,120693
bootstrap_matrix,55,log_breadth,2.765427973956016e-16,120693
bootstrap_matrix,55,log_depth,4.623436985752684e-15,120693
bootstrap_matrix,57,log_breadth,0.06231980174179706,120693
bootstrap_matrix,57,log_depth,-0.06128164325090308,120693
bootstrap_matrix,45,log_breadth,0.041033394038110425,120693
bootstrap_matrix,45,log_depth,-0.04920056358644148,120693
bootstrap_matrix,46,log_breadth,0.06103258986221449,120693
bootstrap_matrix,46,log_depth,-0.0608624261194636,120693
bootstrap_matrix,51,log_breadth,0.034916194047940455,120693
bootstrap_matrix,51,log_depth,-0.030369251661397298,120693
bootstrap_matrix,49,log_breadth,0.09601960707447044,120693
bootstrap_matrix,49,log_depth,-0.08639111758868098,120693
bootstrap_matrix,59,log_breadth,3.5641072030837465e-14,120693
bootstrap_matrix,59,log_depth,-0.0018620448324334102,120693
bootstrap_matrix,60,log_breadth,4.971175381063286e-15,120693
bootstrap_matrix,60,log_depth,-4.9381615356595685e-15,120693
bootstrap_matrix,56,log_breadth,0.009255078235630876,120693
bootstrap_matrix,56,log_depth,-0.01122468546241361,120693
bootstrap_matrix,52,log_breadth,0.007673106985531211,120693
bootstrap_matrix,52,log_depth,-0.00792425093779229,120693
bootstrap_matrix,50,log_breadth,0.04285764755295103,120693
bootstrap_matrix,50,log_depth,-0.03422316356923646,120693
bootstrap_matrix,53,log_breadth,-0.028699737534954063,120693
bootstrap_matrix,53,log_depth,0.04816521218006233,120693
bootstrap_matrix,54,log_breadth,0.05090389925006417,120693
bootstrap_matrix,54,log_depth,-0.03696500370289292,120693
bootstrap_matrix,61,log_breadth,0.0015802348171697128,120693
bootstrap_matrix,61,log_depth,-0.0076773898659081765,120693
bootstrap_matrix,58,log_breadth,0.006748577732729043,120693
bootstrap_matrix,58,log_depth,-0.0281846920443056,120693
bootstrap_matrix,65,log_breadth,2.2417438456760752e-15,120693
bootstrap_matrix,65,log_depth,-1.2651230558311219e-14,120693
bootstrap_matrix,63,log_breadth,0.023536776172688158,120693
bootstrap_matrix,63,log_depth,-0.03819612827655897,120693
bootstrap_matrix,66,log_breadth,0.029195149637942674,120693
bootstrap_matrix,66,log_depth,-0.045364685401772395,120693
bootstrap_matrix,62,log_breadth,1.1451343345791898e-15,120693
bootstrap_matrix,62,log_depth,0.023953763737038457,120693
bootstrap_matrix,64,log_breadth,5.100520700240807e-15,120693
bootstrap_matrix,64,log_depth,3.2606099462654965e-15,120693
bootstrap_matrix,70,log_breadth,0.01171155872880281,120693
bootstrap_matrix,70,log_depth,-0.040957683565722956,120693
bootstrap_matrix,67,log_breadth,0.11042669536472818,120693
bootstrap_matrix,67,log_depth,-0.1003007622258214,120693
bootstrap_matrix,74,log_breadth,0.013346443238644617,120693
bootstrap_matrix,74,log_depth,-0.007918453579222759,120693
bootstrap_matrix,72,log_breadth,0.08131996728997429,120693
bootstrap_matrix,72,log_depth,-0.07730771579607087,120693
bootstrap_matrix,76,log_breadth,0.018893377491787197,120693
bootstrap_matrix,76,log_depth,-0.019700359304705452,120693
bootstrap_matrix,68,log_breadth,2.55337517917149e-07,120693
bootstrap_matrix,68,log_depth,-0.014579155372912564,120693
bootstrap_matrix,69,log_breadth,5.287870835646302e-15,120693
bootstrap_matrix,69,log_depth,-1.0909823584228076e-14,120693
bootstrap_matrix,71,log_breadth,0.034143345148809595,120693
bootstrap_matrix,71,log_depth,-0.043704625105211364,120693
