scenario,draw,y,b3,n
per_platform,57,log_breadth,0.012553466318560136,120693
per_platform,57,log_depth,-0.004504752999567872,120693
per_platform,49,log_breadth,0.027484244246743634,120693
per_platform,49,log_depth,-0.02007453734418234,120693
per_platform,53,log_breadth,0.011638969900026896,120693
per_platform,53,log_depth,-0.012537447631453478,120693
per_platform,56,log_breadth,0.0236235562503211,120693
per_platform,56,log_depth,-0.03343970617520483,120693
per_platform,50,log_breadth,5.231492322677056e-15,120693
per_platform,50,log_depth,-0.003652687730388048,120693
per_platform,58,log_breadth,4.09429434800046e-14,120693
per_platform,58,log_depth,-1.2949543484768068e-06,120693
per_platform,64,log_breadth,0.009551335265844483,120693
per_platform,64,log_depth,-0.0021530681396875625,120693
per_platform,61,log_breadth,0.010008917235190751,120693
per_platform,61,log_depth,-0.029714782216364505,120693
per_platform,55,log_breadth,0.030699981875401777,120693
per_platform,55,log_depth,-0.03457883656680932,120693
per_platform,59,log_breadth,4.81906181626357e-15,120693
per_platform,59,log_depth,-1.5539107120243498e-14,120693
per_platform,60,log_breadth,0.0076298388802209915,120693
per_platform,60,log_depth,-0.030722340947646906,120693
per_platform,67,log_breadth,6.88565957723819e-14,120693
per_platform,67,log_depth,-0.012541420942069966,120693
per_platform,63,log_breadth,0.008641908491388711,120693
per_platform,63,log_depth,-0.009124008721078197,120693
per_platform,70,log_breadth,0.009850512989852999,120693
per_platform,70,log_depth,-0.02339077433621327,120693
per_platform,62,log_breadth,0.006494359538281034,120693
per_platform,62,log_depth,-0.020035966007136554,120693
per_platform,69,log_breadth,0.011011434888913652,120693
per_platform,69,log_depth,-0.028962846603006676,120693
per_platform,65,log_breadth,0.0020066160211103645,120693
per_platform,65,log_depth,-0.0190045499651528,120693
per_platform,71,log_breadth,0.003884341266505942,120693
per_platform,71,log_depth,-0.0031913590342263804,120693
per_platform,66,log_breadth,0.011953485056691224,120693
per_platform,66,log_depth,-0.007684679285026199,120693
per_platform,68,log_breadth,7.211752882980288e-05,120693
per_platform,68,log_depth,-0.009141663096497539,120693
per_platform,74,log_breadth,0.012103999372014786,120693
per_platform,74,log_depth,-0.012012601376171592,120693
per_platform,77,log_breadth,0.0240456570569742,120693
per_platform,77,log_depth,-0.012901716585110657,120693
per_platform,73,log_breadth,0.016749501537912027,120693
per_platform,73,log_depth,-0.020821207843393183,120693
per_platform,75,log_breadth,0.0022771577220606354,120693
per_platform,75,log_depth,-0.011716181655246193,120693
per_platform,72,log_breadth,0.020301079545646174,120693
per_platform,72,log_depth,-0.023717997139461627,120693
per_platform,79,log_breadth,0.022974035433998966,120693
per_platform,79,log_depth,-0.034533360006121734,120693
per_platform,81,log_breadth,0.010196113775001136,120693
per_platform,81,log_depth,-0.0042440733905053825,120693
per_platform,78,log_breadth,0.002439530410930585,120693
per_platform,78,log_depth,-0.0160885556967188,120693
per_platform,76,log_breadth,0.020692103758126273,120693
