variable,form,mae,medae,rmse
author_left_ratio,linear,0.04359488677041269,0.01282217744944322,0.08907544941724167
author_left_ratio,spline,0.04140221941871539,0.011025940793119197,0.08520101971200439
author_right_ratio,linear,0.04359488677041276,0.012822177449442498,0.08907544941724177
author_right_ratio,spline,0.04010558529625444,0.0037066377918320353,0.08617657728674717
author_alignment_ratio,linear,0.043594886770412636,0.012822177449443068,0.08907544941724173
author_alignment_ratio,spline,0.03993806840863552,0.010346817560677003,0.08526236489014324
