check,variant,y,baseline_b3,model3c_b3,n,attenuation
C3_representation,post_level,log_breadth,0.16820724735565698,-0.004002211639848777,47106,0.9762066634894363
C3_representation,post_level,log_depth,-0.19393984024961836,0.05276557531576652,47106,0.7279281283935659
C3_representation,user_collapsed,log_breadth,-0.03190277629703241,0.014588314969405908,42947,0.5427258482590774
C3_representation,user_collapsed,log_depth,-0.13208030990963665,0.0628926170797757,42947,0.5238304852342944
