sample,y,baseline,model3c,n,accounted
threads with a reply,log_breadth,0.18829271438327294,0.02945306033958517,47106,0.8435783326186855
threads with a reply,log_depth,-0.22242452230299115,0.02083198557674462,47106,0.9063413271115544
"same, without two-participant threads",log_breadth,0.1359973598768531,-0.055834219057183394,32001,0.5894463016948137
"same, without two-participant threads",log_depth,-0.18398018138302405,0.06796278459830632,32001,0.6305972519028222
