outcome,model,scale_est,term,coef,se,pval,main,main_se,pseudo_r2,rmse,scale,n
log_breadth,1 (Baseline),MAD,log_size:platform[T.ts],0.3982444017039385,1.9195230112480987e-16,0.0,0.49999999999999817,1.6254041195513476e-16,0.9106691474242252,0.13730393186202333,1.0697533016123189e-14,123189
log_breadth,1 (Baseline),Huber,log_size:platform[T.ts],0.41868250213141517,0.0011754582626579203,0.0,0.5042751137116231,0.0009953486836516538,0.9175860558142317,0.13188110705281575,0.10718317451444842,123189
log_breadth,2 (Influencers),MAD,log_size:outlier[T.True],0.020894389304270285,0.004075790626554127,2.952362514012258e-07,0.9087081485200329,0.000600135412565071,0.9358084022712295,0.16471254985774908,0.04985416809830049,43801
log_breadth,2 (Influencers),Huber,log_size:outlier[T.True],0.006921944202523768,0.006821709826920965,0.31025198273028176,0.9167628344252732,0.0010044553355380863,0.9403115668939656,0.1588300552026979,0.13625569768952722,43801
log_breadth,3a (Alignment),MAD,log_size:platform[T.ts],0.20213606903225773,1.324644577814053e-19,0.0,1.1147289857677704e-14,2.1563015270597834e-19,0.9326479202855208,0.11922236695622807,6.3798987120971106e-18,123189
log_breadth,3a (Alignment),Huber,log_size:platform[T.ts],0.23619376858551008,0.0007202446790773384,0.0,0.17132685779707696,0.0011724388015946416,0.9432297952265576,0.10945672882521952,0.06269287358284982,123189
log_breadth,3b (Composition),MAD,log_size:platform[T.ts],0.25824615340231455,6.065773904676902e-18,0.0,0.36433115436765906,4.547763604067198e-18,0.93114438140798,0.12054575646384459,1.7284629132701204e-16,123189
log_breadth,3b (Composition),Huber,log_size:platform[T.ts],0.2886554596161642,0.0019267273771420804,0.0,0.3692423113432898,0.0014445478480446818,0.9363800391370107,0.11587211476888579,0.09388383522467206,123189
log_breadth,3c (Combined),MAD,log_size:platform[T.ts],0.023037570595806633,5.975240494799539e-18,0.0,0.2526141676070627,6.5402018466349274e-18,0.9516828599115524,0.10097941366511623,1.3248350733702345e-16,123189
log_breadth,3c (Combined),Huber,log_size:platform[T.ts],0.07062490728601825,0.0015039847863014461,0.0,0.21373055293239468,0.0016461871426330852,0.954615186545057,0.09786727855634983,0.06299151240096544,123189
log_breadth,4 (Topic),MAD,log_size:platform[T.ts],0.40861810612805716,1.5866533336138388e-17,0.0,0.5069776348880487,1.8097010444980487e-17,0.912479401734789,0.13590560660648954,8.23208690581045e-16,123189
log_breadth,4 (Topic),Huber,log_size:platform[T.ts],0.4259722471991223,0.0011984240414785337,0.0,0.5140218779344938,0.0013668954608222676,0.9190633207628268,0.13069378188995073,0.10607084433935411,123189
log_depth,1 (Baseline),MAD,log_size:platform[T.ts],-0.3343959841440723,3.925357456541301e-18,0.0,0.7737056144690827,3.3238946046420583e-18,0.8482995650962323,0.1075746552126925,2.1057516535097575e-16,123189
log_depth,1 (Baseline),Huber,log_size:platform[T.ts],-0.32141556771184937,0.0009133054337148629,0.0,0.7320384631582022,0.0007733642189595494,0.8607720030970029,0.10305755560550749,0.08061111009783335,123189
log_depth,2 (Influencers),MAD,log_size:outlier[T.True],-0.05185207272004312,0.003582858979851021,1.8140761239748407e-47,0.4334682175826864,0.0005275542217567851,0.8054055826877653,0.1399794427441506,0.03749962300070959,43801
log_depth,2 (Influencers),Huber,log_size:outlier[T.True],-0.021581849228929507,0.005777229691514694,0.0001872127561250859,0.4106907877624558,0.0008506619799878243,0.810710607171095,0.13805820134429994,0.12663045264814482,43801
log_depth,3a (Alignment),MAD,log_size:platform[T.ts],-0.17924830056614444,6.841120460922425e-18,0.0,0.999999999999998,1.1136208718741836e-17,0.8840208609211151,0.09406032828969638,2.469028679017885e-16,123189
log_depth,3a (Alignment),Huber,log_size:platform[T.ts],-0.18885067475845618,0.0006227898670866898,0.0,0.9097092894648804,0.0010137985418341416,0.8926452184156216,0.09049555465747733,0.055964730528175057,123189
log_depth,3b (Composition),MAD,log_size:platform[T.ts],-0.19503669369655316,1.0736155509970136e-17,0.0,0.9002355332668913,8.04934342148851e-18,0.8781220079522443,0.09642267931969864,3.030697633298647e-16,123189
log_depth,3b (Composition),Huber,log_size:platform[T.ts],-0.1954721441732668,0.0014814662117492465,0.0,0.8431593212307472,0.0011107169875312723,0.8869508797428696,0.09286458951760862,0.07202648931798532,123189
log_depth,3c (Combined),MAD,log_size:platform[T.ts],-0.054704138644025214,8.954599473329246e-18,0.0,0.9285876080901412,9.801260394843548e-18,0.9048548738273079,0.08519415957993175,2.0752830147800134e-16,123189
log_depth,3c (Combined),Huber,log_size:platform[T.ts],-0.04910459593663247,0.0012549719882103195,0.0,0.9497248495841104,0.001373630086004362,0.9085368333583957,0.08352945861800272,0.0542472428715593,123189
log_depth,4 (Topic),MAD,log_size:platform[T.ts],-0.33890162221649994,1.54534817934361e-17,0.0,0.7551912860822984,1.762589316156148e-17,0.8506221495488995,0.10674797683179564,8.038059131062877e-16,123189
log_depth,4 (Topic),Huber,log_size:platform[T.ts],-0.330223817875977,0.0009290335321788344,0.0,0.7167631205744442,0.0010596347153718822,0.8623329488485703,0.10247821563508726,0.07960540873344972,123189
