outcome,spec,b3,mae,n
log_breadth,"as published (spline L + align, linear R)",0.07062490728601825,0.04627238072002838,123189
log_breadth,spline on all three,0.005064675292282956,0.042189528639399176,123189
log_breadth,linear on all three,0.13246678569466963,0.05363024235085211,123189
log_breadth,baseline (no ideology),0.41868250213141517,0.07962126190591969,123189
log_depth,"as published (spline L + align, linear R)",-0.04910459593663247,0.039686811200005924,123189
log_depth,spline on all three,-0.020767960286382215,0.036750813503836105,123189
log_depth,linear on all three,-0.09750514752907982,0.04359488677041276,123189
log_depth,baseline (no ideology),-0.32141556771184937,0.06031808064204225,123189
