platform,cascades,cascades_depth_ge2,share_with_backforth,share_with_backforth_deep,share_edges_backforth
bsky,76892,10412,0.09310461426416272,0.6875720322704572,0.19963300325668282
ts,43801,12993,0.20759800004566106,0.6998383745093512,0.1556581320631884
