sample,scale,y,n,baseline,m3c,scale_val,atten
all cascades,MAD (default),log_breadth,123189,0.3982444017039385,0.023037570595806633,1.3248350733702345e-16,0.9421521796734932
all cascades,MAD (default),log_depth,123189,-0.3343959841440723,-0.054704138644025214,2.0752830147800134e-16,0.8364091040625168
all cascades,Huber proposal 2,log_breadth,123189,0.41868250213141517,0.07062490728601825,0.06299151240096544,0.831316315044256
all cascades,Huber proposal 2,log_depth,123189,-0.32141556771184937,-0.04910459593663247,0.0542472428715593,0.847223965266502
size > 1,MAD (default),log_breadth,47670,0.18707445104718734,0.03523999886024561,0.0868034743235363,0.8116258063942856
size > 1,MAD (default),log_depth,47670,-0.22287826150572965,0.019211493706553635,0.07262817385558282,0.9138027478464527
size > 1,Huber proposal 2,log_breadth,47670,0.18057414225540142,0.015137639702569275,0.1294058151732662,0.9161693943911481
size > 1,Huber proposal 2,log_depth,47670,-0.21711483194767364,0.028834760665943416,0.11555564769561288,0.8671911982830689
