table,spec,y,coef,b_size,pseudo_r2,mae,rmse,n
baseline_subsample,base,log_breadth,0.41744726219674183,0.5055674433493378,0.9182764589459813,0.08006442256397192,0.13230961737776786,120693
baseline_subsample,base,log_depth,-0.32059328784392915,0.7309804637851459,0.8601059997961764,0.0608624641426489,0.10360776985834039,120693
baseline_full,base,log_breadth,0.41868250213141517,0.5042751137116231,0.9175860558142317,0.07962126190591969,0.13188110705281575,123189
baseline_full,base,log_depth,-0.32141556771184937,0.7320384631582022,0.8607720030970029,0.06031808064204225,0.10305755560550749,123189
